county,cases,deaths
Abbeville,84,0
Acadia,741,21
Accomack,116,0
Ada,4264,41
Adair,325,8
Adams,5003,101
Addison,470,0
Aiken,298,10
Alachua,1763,0
Alamance,209,0
Alameda,7792,153
Alamosa,45,2
Albany,4806,66
Albemarle,385,0
Alcorn,52,0
Alexander,21,0
Alexandria city,956,3
Allamakee,228,14
Allegan,125,0
Allegany,228,7
Alleghany,43,0
Allegheny,6950,64
Allen,1474,87
Allendale,15,0
Alpine,15,0
Amador,34,0
Amelia,59,0
Amherst,76,0
Amite,70,11
Anchorage,1177,33
Anderson,1078,55
Andrews,48,0
Androscoggin,254,0
Angelina,110,0
Anne Arundel,3572,62
Anoka,493,0
Anson,40,0
Antelope,11,0
Antrim,48,0
Apache,335,6
Appanoose,15,5
Appling,48,0
Appomattox,11,0
Aransas,12,0
Arapahoe,7317,138
Archuleta,36,0
Arenac,25,0
Arkansas,16,0
Arlington,2420,24
Armstrong,134,0
Aroostook,10,0
Ascension,3528,111
Ashe,9,0
Ashland,57,0
Ashley,47,0
Ashtabula,163,0
Asotin,22,0
Assumption,629,1
Atascosa,42,0
Atchison,31,0
Athens,40,11
Atkinson,15,0
Atlantic,1184,17
Atoka,8,0
Attala,191,0
Audubon,11,0
Auglaize,62,1
Augusta,67,0
Aurora,14,0
Austin,53,0
Autauga,152,4
Avoyelles,451,10
Baca,81,0
Bacon,85,0
Baker,250,24
Baldwin,608,20
Ballard,2,0
Baltimore,6421,78
Baltimore city,4554,69
Bamberg,49,0
Bandera,1,0
Banks,34,0
Bannock,66,0
Barber,3,0
Barbour,46,0
Barnes,26,0
Barnstable,4173,76
Barnwell,26,0
Barren,17,0
Barron,28,0
Barrow,336,34
Barry,77,0
Bartholomew,487,13
Barton,28,0
Bartow,2728,90
Bastrop,139,4
Bates,39,0
Bath,8,0
Baxter,39,0
Bay,534,6
Bayfield,45,0
Beadle,364,9
Beaufort,1892,32
Beauregard,193,2
Beaver,999,60
Beaverhead,6,0
Beckham,11,0
Bedford,190,0
Bee,2,0
Belknap,251,0
Bell,768,20
Belmont,253,4
Beltrami,58,0
Ben Hill,57,0
Bennington,361,2
Benton,3054,191
Benzie,1,0
Bergen,71121,2117
Berkeley,1019,0
Berks,3261,29
Berkshire,3376,147
Bernalillo,3131,77
Berrien,729,15
Bertie,94,8
Bethel Census Area,3,0
Bexar,5229,156
Bibb,512,9
Bienville,141,16
Big Stone,18,0
Bingham,31,0
Black Hawk,170,0
Blackford,23,0
Bladen,8,0
Blaine,4515,38
Blair,73,0
Blanco,28,0
Bleckley,11,0
Bledsoe,31,0
Blount,511,9
Blue Earth,215,0
Bolivar,477,16
Bollinger,19,0
Bon Homme,36,0
Bond,32,0
Bonner,22,0
Bonneville,58,0
Boone,1964,38
Bossier,1495,31
Botetourt,140,0
Boulder,2339,34
Bourbon,139,28
Bowie,218,22
Bowman,3,0
Box Elder,128,0
Boyd,133,11
Boyle,56,0
Bracken,13,0
Bradford,215,0
Bradley,325,0
Branch,111,6
Brantley,19,3
Braxton,2,0
Brazoria,1756,11
