Filme,Ator,Categoria,Avaliação,Assistiu?
Bastador Inglórios,Brad Pitt,Ação,Mediana,Não
Porcos e Diamantes,Brad Pitt,Ação,Mediana,Não
Tróia,Brad Pitt,Ação,Baixa,Não
O curioso caso de Benjamin Button,Brad Pitt,Drama,Mediana,Não
Sr e Sra Smith,Brad Pitt,Romance,Baixa,Não
Era uma vez no México,Brad Pitt,Romance,Baixa,Não
Os sete magníficos,Denzel Washington,Ação,Mediana,Não
O livro de Eli,Denzel Washington,Ação,Baixa,Não
Decisão de Risco,Denzel Washington,Drama,Mediana,Não
Inferno,Tom Hanks,Drama,Baixa,Não
Mensagem para você,Tom Hanks,Romance,Baixa,Não
Clube da Luta,Brad Pitt,Ação,Mediana,Sim
Corações de Ferro,Brad Pitt,Drama,Mediana,Sim
O homem que mudou o jogo,Brad Pitt,Drama,Mediana,Sim
Aliados,Brad Pitt,Drama,Excepcional,Sim
Anjos e Demônios,Tom Hanks,Drama,Excepcional,Sim
Capitão Phillips,Tom Hanks,Drama,Mediana,Sim
Apollo 13,Tom Hanks,Drama,Excepcional,Sim
Forrest Gump,Tom Hanks,Drama,Excepcional,Sim
O Náufrago,Tom Hanks,Drama,Mediana,Sim
Sintonia de amor,Tom Hanks,Romance,Excepcional,Sim
